"Order.Date","Brand","Sneaker.Name","Sale.Price","Retail.Price","Release.Date","Shoe.Size","Buyer.Region","Days_Since_Release","Markup_Dollar","Markup_Pct","Log_Sale_Price","Log_Retail_Price","Is_Premium","Release_Year","Sale_Year","Sale_Month","Release_Month","Above_Retail","Price_Category"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-Low-V2-Beluga",1097,220,2016-09-24,11,"California",342,877,398.636363636364,7.00033446027523,5.39362754635236,0,2016,2017,9,9,1,"Premium"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-V2-Core-Black-Copper",685,220,2016-11-23,11,"California",282,465,211.363636363636,6.52941883826223,5.39362754635236,0,2016,2017,9,11,1,"Premium"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-V2-Core-Black-Green",690,220,2016-11-23,11,"California",282,470,213.636363636364,6.5366915975913,5.39362754635236,0,2016,2017,9,11,1,"Premium"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-V2-Core-Black-Red",1075,220,2016-11-23,11.5,"Kentucky",282,855,388.636363636364,6.98007594056176,5.39362754635236,0,2016,2017,9,11,1,"Premium"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017",828,220,2017-02-11,11,"Rhode Island",202,608,276.363636363636,6.71901315438526,5.39362754635236,0,2017,2017,9,2,1,"Premium"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017",798,220,2017-02-11,8.5,"Michigan",202,578,262.727272727273,6.68210859744981,5.39362754635236,0,2017,2017,9,2,1,"Premium"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-V2-Core-Black-White",784,220,2016-12-17,11,"California",258,564,256.363636363636,6.66440902035041,5.39362754635236,0,2016,2017,9,12,1,"Premium"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-V2-Cream-White",460,220,2017-04-29,10,"New York",125,240,109.090909090909,6.13122648948314,5.39362754635236,0,2017,2017,9,4,1,"Premium"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-V2-Cream-White",465,220,2017-04-29,11,"Kansas",125,245,111.363636363636,6.14203740558736,5.39362754635236,0,2017,2017,9,4,1,"Premium"
2017-09-01," Yeezy","Adidas-Yeezy-Boost-350-V2-Cream-White",465,220,2017-04-29,11,"Florida",125,245,111.363636363636,6.14203740558736,5.39362754635236,0,2017,2017,9,4,1,"Premium"
